frame_id,device_timestamp_us,sdk_system_timestamp_us,host_receive_us,bytes,source_gap,soi,sender_accepts,trimmed_bytes,first_eoi_end,last_eoi_end
185,61544796485,1789006411205011,1789006411206467,74076,0,1,1,42164,42164,42164
186,61544829794,1789006411239025,1789006411240539,74076,0,1,1,43094,43094,43094
187,61544863102,1789006411271604,1789006411273059,74076,0,1,1,42941,42941,42941
188,61544896411,1789006411305017,1789006411306435,74076,0,1,1,42151,42151,42151
189,61544929719,1789006411338304,1789006411339863,74076,0,1,1,42386,42386,42386
190,61544963028,1789006411371528,1789006411373112,74076,0,1,1,42132,42132,42132
191,61544996337,1789006411405336,1789006411406222,74076,0,1,1,42226,42226,42226
192,61545029645,1789006411438178,1789006411439715,74076,0,1,1,43269,43269,43269
193,61545062954,1789006411471494,1789006411472958,74076,0,1,1,43006,43006,43006
194,61545096262,1789006411505190,1789006411506159,74076,0,1,1,42834,42834,42834
195,61545129571,1789006411538160,1789006411539619,74076,0,1,1,42462,42462,42462
196,61545162880,1789006411572049,1789006411573397,74076,0,1,1,42884,42884,42884
197,61545196188,1789006411604513,1789006411606215,74076,0,1,1,42175,42175,42175
198,61545229497,1789006411638065,1789006411639589,74076,0,1,1,42233,42233,42233
199,61545262805,1789006411671687,1789006411673724,74076,0,1,1,42122,42122,42122
200,61545296114,1789006411704642,1789006411706035,74076,0,1,1,42273,42273,42273
201,61545329423,1789006411737936,1789006411739295,74076,0,1,1,42061,42061,42061
202,61545362731,1789006411771310,1789006411772828,74076,0,1,1,41937,41937,41937
203,61545396040,1789006411804487,1789006411806031,74076,0,1,1,42989,42989,42989
204,61545429348,1789006411837925,1789006411839345,74076,0,1,1,43003,43003,43003
205,61545462657,1789006411871748,1789006411873348,74076,0,1,1,42274,42274,42274
206,61545495966,1789006411904520,1789006411906059,74076,0,1,1,42192,42192,42192
207,61545529274,1789006411937803,1789006411939259,74076,0,1,1,42435,42435,42435
208,61545562583,1789006411971118,1789006411972970,74076,0,1,1,42935,42935,42935
209,61545595891,1789006412004448,1789006412005849,74076,0,1,1,42206,42206,42206
210,61545629200,1789006412037750,1789006412039134,74076,0,1,1,42159,42159,42159
211,61545662509,1789006412071514,1789006412073060,74076,0,1,1,42207,42207,42207
212,61545695817,1789006412104470,1789006412105857,74076,0,1,1,42740,42740,42740
213,61545729126,1789006412137730,1789006412139131,74076,0,1,1,43260,43260,43260
214,61545762434,1789006412171540,1789006412173470,74076,0,1,1,42939,42939,42939
215,61545795743,1789006412204277,1789006412206014,74076,0,1,1,42130,42130,42130
216,61545829052,1789006412237513,1789006412239159,74076,0,1,1,42999,42999,42999
